trade_id,symbol,long_exchange,short_exchange,entry_time,exit_time,duration_hours,size_usd,funding_earned,trading_fees,slippage,price_pnl,total_pnl,return_pct,exit_reason,is_open
1,BTCUSDT,okx,gateio,2024-01-01 00:00:00,2024-01-01 16:00:00,16.0,1968.6647380829206,1.1008476487294874,3.9373294761658415,1.5749317904663365,2.0434338402560788,-2.3679797776466116,-0.12028354710881563,funding_reversal,False
2,BTCUSDT,okx,binance,2024-01-01 00:00:00,2024-01-01 16:00:00,16.0,1331.3379959427161,0.5689130066299071,2.662675991885432,1.065070396754173,-1.179085845923817,-4.337919227933515,-0.32583155000108355,time_stop,False
3,ETHUSDT,bybit,binance,2024-01-01 00:00:00,2024-01-01 16:00:00,16.0,2344.600173893158,1.470765510054354,4.689200347786317,1.8756801391145266,-0.7975841344934929,-5.891699111339982,-0.2512880096548377,profit_target,False
4,ETHUSDT,gateio,binance,2024-01-01 00:00:00,2024-01-01 16:00:00,16.0,2249.418082031393,1.3735018002020793,4.498836164062786,1.7995344656251147,-0.13251027545120583,-5.057379104937027,-0.22483055263652166,funding_reversal,False
5,ETHUSDT,okx,binance,2024-01-01 00:00:00,2024-01-01 16:00:00,16.0,2247.022055268484,1.3710841679711958,4.494044110536969,1.7976176442147873,-1.069080774019022,-5.989658360799582,-0.2665598384651329,profit_target,False
6,SOLUSDT,gateio,bybit,2024-01-01 00:00:00,2024-01-01 16:00:00,16.0,1780.4310974210912,0.9305737741587239,3.5608621948421826,1.424344877936873,1.344429589092463,-2.7102037095278693,-0.15222176884314872,funding_reversal,False
7,AVAXUSDT,binance,gateio,2024-01-01 00:00:00,2024-01-01 16:00:00,16.0,1268.1649607953843,0.5234971696167122,2.536329921590769,1.0145319686363075,0.5298163800125243,-2.49754834059784,-0.19694191353713122,funding_reversal,False
8,BTCUSDT,gateio,bybit,2024-01-02 00:00:00,2024-01-02 16:00:00,16.0,5247.482305834468,6.584025558960446,10.494964611668937,4.197985844667575,3.2290665611570106,-4.879858336219057,-0.09299427900487316,profit_target,False
9,BTCUSDT,gateio,binance,2024-01-02 00:00:00,2024-01-02 16:00:00,16.0,5067.910570305839,6.093279847698071,10.135821140611679,4.054328456244671,8.778300992250776,0.6814312430924954,0.013445999759450614,profit_target,False
10,BTCUSDT,gateio,okx,2024-01-02 00:00:00,2024-01-02 16:00:00,16.0,3846.3020722004785,3.1617367610156557,7.692604144400957,3.077041657760383,-4.135618596661043,-11.743527637806727,-0.3053199519269226,funding_reversal,False
