date,asset,direction,skew_entry,spot_entry,contracts,premium,trade_id,exit_reason,skew_exit,spot_exit,pnl,pnl_pct,days_held
2021-03-27,ETH,LONG_SKEW,-64.52074305210283,726.214467545246,100.0,965.4879600190495,1,,,,,,
2021-03-28,ETH,EXIT,,,,,1,closed,-63.67281619402962,768.3978253480367,-27709.953828882673,-0.004239634290366041,1.0
2021-03-29,ETH,LONG_SKEW,-63.54086922742187,759.2297411560991,100.0,955.3266996744239,2,,,,,,
2021-03-30,ETH,EXIT,,,,,2,closed,-63.00730766355359,689.6938360593696,-18229.311361195178,-0.0026678078193414123,1.0
2021-03-31,ETH,LONG_SKEW,-62.00229609209145,651.0683094359222,100.0,979.0422223145723,3,,,,,,
2021-04-01,ETH,EXIT,,,,,3,closed,-61.03017848022089,676.3999654215174,-28481.173656005274,-0.0048605880593527925,1.0
2021-04-02,ETH,LONG_SKEW,-60.34943804879087,712.085229805613,100.0,937.137166619171,4,,,,,,
2021-04-03,ETH,EXIT,,,,,4,closed,-59.659287686509586,720.3188983974617,-22115.064569647373,-0.003450751811406434,1.0
2021-04-04,ETH,LONG_SKEW,-59.271548607519875,786.9230928077444,100.0,1040.311242552026,5,,,,,,
2021-04-05,ETH,EXIT,,,,,5,closed,-58.91934539551013,794.8038346064168,-12472.05784011896,-0.001761016060048739,1.0
2021-04-06,ETH,LONG_SKEW,-58.530868149829054,782.4411183052121,100.0,1055.3320973394887,6,,,,,,
2021-04-07,ETH,EXIT,,,,,6,closed,-57.88128915719412,737.314520189775,-22871.579104118362,-0.00324789496317468,1.0
2021-04-08,ETH,LONG_SKEW,-57.45427004656549,725.3590695817085,100.0,1089.2637825191716,7,,,,,,
2021-04-09,ETH,EXIT,,,,,7,closed,-57.302499855785705,726.9209876419236,-4953.954796841868,-0.0007588509538989285,1.0
2021-04-10,ETH,LONG_SKEW,-56.618234569143354,624.5462944622248,100.0,1064.7762989540176,8,,,,,,
2021-04-11,ETH,EXIT,,,,,8,closed,-56.09746236999889,576.5457159232498,-14636.085625557931,-0.0026038609957223357,1.0
2021-04-12,ETH,LONG_SKEW,-55.44844039011409,607.8893227478397,100.0,1089.3662823164118,9,,,,,,
2021-04-13,ETH,EXIT,,,,,9,closed,-54.864195839957674,602.7685970473551,-15982.021076116414,-0.0029212227507820644,1.0
2021-04-14,ETH,LONG_SKEW,-54.21699616681405,626.3096005111998,100.0,1095.5455339586986,10,,,,,,
2021-04-15,ETH,EXIT,,,,,10,closed,-53.82673163983871,635.9222223186536,-10999.188899262692,-0.0019513226348766822,1.0
2021-04-16,ETH,LONG_SKEW,-53.50607839272791,600.2607110191303,100.0,1013.0240421563819,11,,,,,,
2021-04-17,ETH,EXIT,,,,,11,closed,-53.028738785269326,580.8221131075227,-12893.769547680642,-0.0023866980372929092,1.0
2021-04-18,ETH,LONG_SKEW,-52.92797447265093,632.0887437797612,100.0,949.2671021370543,12,,,,,,
2021-04-19,ETH,EXIT,,,,,12,closed,-52.722137337210654,633.8123928200025,-5854.830136365105,-0.001029185677201383,1.0
2021-04-20,ETH,LONG_SKEW,-52.05458738577307,635.5604161535846,100.0,857.7271011199284,13,,,,,,
2021-04-21,ETH,EXIT,,,,,13,closed,-51.80538641598707,597.3382730500838,-7127.20224283789,-0.001246004848929978,1.0
2021-04-22,ETH,LONG_SKEW,-51.4479668076392,617.6273938672225,100.0,850.8712653134309,14,,,,,,
2021-04-23,ETH,EXIT,,,,,14,closed,-50.98829483370726,550.5392872414925,-12775.77014820236,-0.0022983598696596987,1.0
